ZIP,state,name,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,fr1pct,fr2pct,fr3pct,fr4pct
85347,AZ,Roll,0,0,0,0,744,"2,055",0.4,130.5882418,130.5882418,130.5882418,130.5882418,17.5537005,17.5537005,17.5537005,17.5537005
99763,AK,Noorvik,1,1,1,1,867,"2,025",0.4,867.4632932,867.4632932,867.4632932,867.4632932,100,100,100,100
86406,AZ,Lake Havasu City,0,0,0,0,"24,049","2,022",11.9,518.2128461,471.1055841,471.1055841,471.1055841,2.154860999,1.958977006,1.958977006,1.958977006
79851,TX,Sierra Blanca,0,0,0,0,638,"2,016",0.3,65.37969376,65.37969376,65.37969376,65.37969376,10.2410161,10.2410161,10.2410161,10.2410161
87401,NM,Farmington,0,0,0,0,"54,602","2,013",27.1,758.0871491,758.0871491,758.0871491,758.0871491,1.388395885,1.388395885,1.388395885,1.388395885
82327,WY,Hanna,1,1,1,1,"1,262","2,009",0.6,1237.453285,1040.290259,1040.290259,1038.492197,98.04996255,82.42769422,82.42769422,82.28522425
83544,ID,Orofino,0,0,0,0,"6,066","2,005",3.0,853.9213624,853.9213624,853.9213624,773.3992347,14.07677627,14.07677627,14.07677627,12.74938006
83650,ID,Murphy,0,0,0,0,"1,639","1,998",0.8,190.2239553,190.2239553,190.2239553,190.2239553,11.60963996,11.60963996,11.60963996,11.60963996
83226,ID,Challis,1,1,1,1,"2,616","1,991",1.3,2615.824088,2615.824088,2615.824088,2615.824088,100,100,100,100
82520,WY,Lander,1,1,0,0,"13,275","1,986",6.7,13274.58286,13274.58286,3667.3396,1973.128624,100,100,27.62677848,14.86395953
81640,CO,Maybell,1,1,1,1,287,"1,982",0.1,287.1617084,287.1617084,184.0264848,184.0264848,100,100,64.08461832,64.08461832
85326,AZ,Buckeye,0,0,0,0,"52,449","1,981",26.5,294.3435672,294.3435672,294.3435672,294.3435672,0.561197886,0.561197886,0.561197886,0.561197886
89418,NV,Imlay,1,1,0,0,611,"1,959",0.3,610.5356154,610.5356154,248.9978192,248.9978192,100,100,40.78350434,40.78350434
85348,AZ,Salome,1,1,1,1,"3,580","1,957",1.8,3551.281759,3551.281759,3099.320386,3029.792937,99.18428641,99.18428641,86.56138873,84.61954606
82443,WY,Thermopolis,1,1,1,0,"4,714","1,924",2.4,4713.984713,4713.984713,4713.984713,489.732449,100,100,100,10.38892739
79847,TX,Salt Flat,1,1,1,1,122,"1,922",0.1,111.7076688,108.2445901,108.2445901,108.2445901,91.76964319,88.92466839,88.92466839,88.92466839
85643,AZ,Willcox,0,0,0,0,"9,727","1,916",5.1,4497.955328,4497.955328,4481.134661,3270.543043,46.2426071,46.2426071,46.06967708,33.62381925
86045,AZ,Tuba City,1,1,1,0,"12,511","1,899",6.6,11625.70513,11625.70513,11625.70513,1412.205472,92.9270763,92.9270763,92.9270763,11.2881003
59645,MT,White Sulphur Springs,1,1,1,1,"1,677","1,885",0.9,1673.889239,1673.864712,1673.864712,1673.864712,99.80411045,99.80264807,99.80264807,99.80264807
99667,AK,Skwentna,1,1,1,1,0,"1,883",0.0,0.031546465,0.031546465,0.031546465,0.031546465,100,100,100,100
99769,AK,Savoonga,1,1,1,1,374,"1,851",0.2,373.8573103,373.8573103,373.8573103,373.8573103,100,100,100,100
79772,TX,Pecos,0,0,0,0,"12,810","1,844",6.9,641.0824018,623.1831844,51.24986527,51.24986527,5.00456971,4.864840588,0.400078871,0.400078871
97917,OR,Riverside,1,1,1,1,51,"1,843",0.0,51.12607464,51.12607464,51.12607464,51.12607464,100,100,100,100
86021,AZ,Colorado City,0,0,0,0,"7,012","1,842",3.8,281.5207443,281.5207443,281.5207443,224.0168294,4.01467595,4.01467595,4.01467595,3.194631287
78880,TX,Rocksprings,1,1,1,1,"1,709","1,828",0.9,1709.134875,1689.139124,1689.139124,1689.139124,100,98.83006599,98.83006599,98.83006599
83278,ID,Stanley,1,1,1,1,322,"1,823",0.2,322.3651888,322.3651888,322.3651888,322.3651888,100,100,100,100
82310,WY,Jeffrey City,1,1,1,1,96,"1,816",0.1,96.21829288,96.21829288,96.16693011,96.16693011,100,100,99.9466185,99.9466185
79248,TX,Paducah,1,1,1,1,"1,786","1,815",1.0,1786.074716,1786.074716,1786.074716,1783.009997,100,100,100,99.82841034
89018,NV,Indian Springs,0,0,0,0,"6,243","1,811",3.4,96.96810469,96.86124898,96.86124898,96.86124898,1.553160082,1.55144855,1.55144855,1.55144855
88220,NM,Carlsbad,1,0,0,0,"33,719","1,802",18.7,33718.89778,218.1686871,218.1686871,218.1686871,100,0.647022001,0.647022001,0.647022001
97754,OR,Prineville,0,0,0,0,"18,567","1,799",10.3,535.8980962,518.5929373,322.2762398,322.2762398,2.88621764,2.793016237,1.735701946,1.735701946
99630,AK,Mekoryuk,1,1,1,1,179,"1,799",0.1,179.1839533,179.1839533,179.1839533,179.1839533,100,100,100,100
00197,AZ,B M Goldwater A F Range,1,1,1,1,251,"1,789",0.1,156.3782074,156.3782074,156.3782074,156.3782074,62.2232553,62.2232553,62.2232553,62.2232553
99554,AK,Alakanuk,1,1,1,1,"1,447","1,783",0.8,1447.203127,1447.203127,1447.203127,1447.203127,100,100,100,100
89409,NV,Gabbs,1,1,1,1,522,"1,781",0.3,522.3534518,522.3534518,522.3534518,522.3534518,100,100,100,100
85542,AZ,Peridot,1,1,0,0,"6,163","1,780",3.5,6086.16307,6086.16307,2290.396111,640.8070477,98.76054,98.76054,37.16639764,10.39841512
89420,NV,Luning,1,1,1,1,233,"1,765",0.1,233.211859,233.211859,233.211859,233.2000718,100,100,100,99.99494571
97637,OR,Plush,1,1,1,1,142,"1,755",0.1,142.1861681,142.1861681,142.1861681,135.5649751,100,100,100,95.34329319
82935,WY,Green River,1,0,0,0,"13,670","1,746",7.8,13670.15597,119.0035452,119.0035452,119.0035452,100,0.870535387,0.870535387,0.870535387
82834,WY,Buffalo,1,1,0,0,"7,625","1,741",4.4,7624.806626,7603.154006,2594.006341,955.1146525,100,99.71602402,34.02061808,12.52641148
59347,MT,Rosebud,1,1,1,1,831,"1,738",0.5,831.0166833,831.0166833,831.0166833,830.4516754,100,100,100,99.93201004
97710,OR,Fields,1,1,1,1,104,"1,735",0.1,103.8089542,103.8089542,103.8089542,103.8089542,100,100,100,100
87014,NM,Cubero,0,0,0,0,"5,673","1,734",3.3,1687.936237,1687.936237,1633.302014,1633.302014,29.75196739,29.75196739,28.78897152,28.78897152
78840,TX,Del Rio,1,0,0,0,"47,936","1,734",27.6,47936.47182,69.57985317,69.57985317,69.57985317,100,0.145150134,0.145150134,0.145150134
59923,MT,Libby,1,1,1,0,"9,879","1,732",5.7,9879.411829,9734.500559,9734.500559,1156.344631,100,98.53319942,98.53319942,11.70458981
