Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2011,34025,631020,503112,34991,79334
2011,34027,494976,394477,24071,91332
2011,34029,579369,458033,31772,56929
2011,34031,502007,393026,31966,52382
2011,34033,65902,52282,4383,53926
2011,34035,324893,254560,13687,96360
2011,34037,148517,118986,9878,83839
2011,34039,539494,424174,35111,66398
2011,34041,108339,86845,5548,66594
2011,35001,670968,528675,36843,43916
2011,35005,65890,50197,2944,36282
2011,35013,213598,163734,14478,36101
2011,35025,65423,48390,1775,50758
2011,35031,73664,52515,4577,28983
2011,35035,65703,51237,3039,35308
2011,35043,134259,102884,7133,53214
2011,35045,128200,96001,4613,51728
2011,35049,145648,120181,8227,49959
2011,35061,77070,59336,5122,42802
2011,36001,303565,251240,12492,57062
2011,36005,1392002,1069576,104190,32058
2011,36007,199031,165095,9309,44158
2011,36009,79832,63489,3588,38932
2011,36011,79738,65526,3499,49256
2011,36013,134368,109431,4799,40927
2011,36015,88840,73171,2346,50120
2011,36019,81945,68508,3067,50872
2011,36027,297999,242819,17608,67727
2011,36029,918028,748283,43285,47533
2011,36045,117910,91125,6252,45500
2011,36047,2532645,1999540,149300,42752
2011,36051,65070,53898,1761,50513
2011,36053,73365,60098,1705,50173
2011,36055,745625,601164,31057,50204
2011,36059,1344436,1077495,53238,91414
2011,36061,1601948,1389625,83232,66299
2011,36063,216011,176249,8318,45398
2011,36065,234287,190614,8918,46736
2011,36067,466960,374567,16851,53946
2011,36069,108525,88082,4063,52162
2011,36071,374872,286517,15622,66224
2011,36075,122228,98191,5483,43372
2011,36079,99933,79152,4524,90735
2011,36081,2247848,1839607,116964,53572
2011,36083,159395,129855,8990,58943
2011,36085,470467,375197,18513,70578
2011,36087,315158,237613,15129,82217
2011,36089,111690,91527,5514,43578
2011,36091,220882,178398,7825,64250
2011,36093,155058,124641,6691,52505
2011,36101,99033,79554,5117,43457
2011,36103,1498816,1189749,56697,84106
2011,36105,76900,61974,4791,47978
2011,36109,101723,88273,3400,51586
2011,36111,182448,151733,9836,55006
2011,36113,65831,54394,2641,53110
2011,36117,93436,74381,4123,52597
2011,36119,955899,758275,40934,77006
2011,37001,153291,121377,6475,40699
2011,37019,110097,91786,8261,38584
2011,37021,241419,198677,11101,41422
2011,37023,90904,73910,5215,36706
2011,37025,181468,136655,11123,48668
2011,37027,82395,67071,5535,33198
2011,37031,67373,55738,4483,44429
2011,37035,154181,122511,7362,44369
2011,37045,97489,76919,6341,35753
2011,37049,104786,83672,7137,51298
2011,37051,324885,247518,20810,43577
2011,37057,162697,129892,10585,40281
2011,37063,273392,217305,10371,46231
2011,37067,354952,279452,20229,42911
2011,37071,207031,162652,15180,40674
2011,37081,495279,393680,30732,43419
2011,37085,119256,89105,7131,39513
2011,37089,107927,88022,4693,46789
2011,37097,161202,125165,10193,50241
2011,37101,172595,129333,10916,46915
2011,37109,78932,62745,5107,52147
2011,37119,944373,729444,56440,51935
2011,37125,89352,72677,3461,45158
2011,37127,96116,76018,8344,44261
2011,37129,206189,169734,13281,45719
2011,37133,179719,137901,6533,45573
2011,37135,135755,111273,4365,56482
2011,37147,171134,137117,10412,39047
2011,37151,142358,111400,8881,40301
2011,37155,135517,102917,7633,30806
2011,37157,93329,75671,5891,35816
2011,37159,138019,108604,7803,40008
2011,37161,67538,54330,4702,35786
2011,37171,73714,58553,3335,32310
2011,37179,205463,149943,11765,61048
2011,37183,929780,713636,39938,62141
2011,37191,123697,96613,7363,39085
2011,37193,68984,55788,4637,30181
2011,37195,81452,63541,6214,36508
2011,38015,83145,66580,1256,57460
2011,38017,152368,123305,3767,51442
2011,38035,66598,54896,1747,43917
2011,39003,106094,84282,7064,41307
2011,39007,101345,80022,5670,38204
2011,39013,70151,58095,3816,40981
2011,39017,369999,287765,19032,53138
2011,39023,137691,109190,8034,41292
2011,39025,199139,155906,6707,55934
2011,39029,107570,87083,5700,43975
2011,39035,1270294,1022659,77749,41530
2011,39041,178341,132371,4111,85365
2011,39043,76751,61851,3669,46949
2011,39045,147066,114415,6884,59607
2011,39049,1178799,926819,59054,47029
2011,39055,93228,73370,2134,63855
2011,39057,162846,132558,7715,56194
2011,39061,800362,634445,49572,45940
2011,39063,75056,59861,4895,46742
2011,39081,68828,57141,2456,42075
2011,39085,229885,186413,11283,52690
2011,39089,167248,130868,5969,54887
2011,39093,301614,238608,15720,48280
2011,39095,440005,347798,31914,38421
2011,39099,237270,193916,13437,39356
2011,39101,66212,53656,3866,41133
2011,39103,173262,135836,6869,59572
2011,39109,102857,80981,4810,46759
2011,39113,537602,429070,28167,40602
2011,39119,86237,67767,4530,38259
2011,39133,161624,132669,9037,49554
2011,39139,123510,99273,5469,40117
2011,39141,78249,62394,5385,43464
2011,39145,79277,63029,3515,29657
2011,39151,375087,300608,20977,41827
2011,39153,539832,433062,31161,46429
2011,39155,209264,169599,8070,40867
2011,39157,92508,73202,4789,42082
2011,39165,214910,163959,9110,69201
2011,39169,114611,89218,4355,46827
2011,39173,126355,102664,5860,49792
2011,40017,119492,91116,4212,59329
2011,40027,261281,208422,6579,51606
2011,40031,125815,97289,3991,44585
2011,40037,70467,55516,2963,39030
2011,40101,71003,55423,3186,34440
2011,40109,732371,564847,27040,42893
2011,40119,77988,65143,2584,35181
2011,40125,70280,54873,2108,42272
2011,40131,87706,68321,2490,54591
2011,40143,610599,470334,22100,46466
2011,40145,74098,57338,1862,49605
2011,41003,85928,73239,4391,42513
2011,41005,380207,304211,23108,58055
2011,41017,160338,129467,12320,46984
2011,41019,107490,89180,5616,38502
2011,41029,204822,165284,15701,39138
2011,41033,82987,68804,5157,37048
2011,41035,65552,52692,5849,36464
2011,41039,353416,292441,23233,40584
2011,41043,118122,92685,6246,42565
2011,41047,318872,244154,20754,44051
2011,41051,748031,610378,43800,46888
2011,41053,75993,59715,3304,53252
2011,41059,76725,58908,3127,43502
2011,41067,540410,418610,26318,62488
2011,41071,100000,78817,5872,53612
2011,42001,101434,82599,3460,54906
2011,42003,1227066,1017361,55668,49759
2011,42005,68568,56291,3372,42530
2011,42007,170414,140051,6214,48901
2011,42011,412778,328269,21767,52307
2011,42013,127099,103652,5107,43136
2011,42017,626854,504409,26800,70617
2011,42019,184848,149229,7093,54627
2011,42021,143728,119427,5062,40253
2011,42025,65154,53194,3558,44139
2011,42027,154722,134387,4545,46988
2011,42029,503897,395312,18590,79160
2011,42033,81445,67636,3062,42780
2011,42037,67476,57100,2336,39730
2011,42039,88740,72022,3237,41199
2011,42041,237892,195118,8160,58824
2011,42043,268977,214797,13745,51871
2011,42045,559494,447469,26744,60102
2011,42049,280985,226571,14741,41975
2011,42051,136097,112232,6592,37052
2011,42055,150811,119231,6035,49068
2011,42063,89298,75138,4204,42498
2011,42069,214166,176673,6564,44284
2011,42071,523594,409816,20695,53387
2011,42073,90535,73226,3082,41606
2011,42075,134311,107144,5999,55019
2011,42077,352947,280449,20166,50978
2011,42079,320651,264927,12870,42847
2011,42081,116747,95885,5158,42391
2011,42085,116205,95190,4653,41648
2011,42089,169882,136253,14673,51875
2011,42091,804210,644725,33184,76220
2011,42095,298476,243443,11963,57950
2011,42097,94558,78124,3906,39822
2011,42101,1536471,1229166,119473,34207
2011,42107,147513,122943,6239,47437
2011,42111,77405,64222,2437,38658
2011,42125,208282,171658,8256,52783
2011,42129,364471,302032,12159,46474
2011,42133,436770,348416,22733,55551
2011,44003,165535,136513,8963,60416
2011,44005,82695,68743,3931,69119
2011,44007,626709,507074,38453,46875
2011,44009,126563,105308,4476,69528
2011,45003,160682,128687,5440,41522
2011,45007,188488,148801,9956,40943
2011,45013,164684,134061,7624,55439
2011,45015,183525,140962,12081,49553
2011,45019,357704,289774,18245,50510
2011,45031,68299,53669,4138,39125
2011,45035,140892,107090,8887,50266
2011,45041,137862,108481,9775,40232
2011,45045,461299,361765,23489,48586
2011,45047,69835,55307,4202,35678
2011,45051,276340,227847,13855,38775
2011,45057,77908,61950,4054,40232
2011,45059,66528,53220,4461,35178
2011,45063,267129,209862,12565,50661
2011,45073,74418,59439,3810,41153
2011,45075,91910,73615,6159,31031
2011,45077,119574,97900,7088,39348
2011,45079,389116,310590,24282,44969
2011,45083,286868,225444,16428,40167
2011,45085,107460,83072,6112,42009
2011,45091,230528,178028,14483,49406
2011,46099,171752,133760,5538,51365
2011,46103,102815,79944,4163,48981
2011,47001,75233,61724,3186,40756
2011,47009,123901,99691,5492,45858
2011,47011,100055,79945,7661,37149
2011,47037,635475,509934,31951,43556
2011,47059,69339,56216,2683,31873
2011,47065,340855,275495,19618,41769
2011,47093,436929,352249,16257,44580
2011,47113,98255,77428,5886,38743
2011,47119,81509,64078,3655,40518
2011,47125,176619,132790,9655,47154
2011,47141,72958,59212,3089,32874
2011,47147,67106,52288,3455,47785
2011,47149,268921,206556,12778,52249
2011,47155,91466,72030,5366,42066
2011,47157,935088,720186,57856,44391
2011,47163,157419,130304,6983,39541
2011,47165,163686,127536,6718,52115
2011,47179,124353,102508,3712,41564
2011,47187,188560,140512,5312,86962
2011,47189,116617,91515,4973,59987
2011,48005,87669,65964,4724,39007
2011,48021,75115,58628,5161,55599
2011,48027,315196,234414,18066,45309
2011,48029,1756153,1335234,74148,46704
2011,48037,92793,72950,4230,45035
2011,48039,319973,241099,8993,61924
2011,48041,197632,161356,10246,33817
2011,48061,414123,293149,16379,32070
2011,48085,812226,605735,27027,82237
2011,48091,111963,88384,3934,59234
2011,48099,76508,56872,2911,49808
2011,48113,2416014,1821443,115826,47326
2011,48121,686406,520047,28849,69644
2011,48135,140111,102805,2781,49967
2011,48139,152753,114613,6712,61570
2011,48141,820790,605511,29441,39573
2011,48157,606953,450069,15156,82271
2011,48167,295747,228687,15018,59020
2011,48181,121419,95449,4751,44574
2011,48183,123081,94757,3794,42572
2011,48187,135757,103613,3343,57326
2011,48201,4180894,3137625,196134,50928
2011,48203,66296,51039,1435,44334
2011,48209,164050,128099,6001,55160
2011,48213,78826,62442,2828,38278
2011,48215,797810,552889,36381,31077
2011,48231,86531,67347,5456,50272
2011,48245,252802,199660,12614,41256
2011,48251,152734,115402,7120,54664
2011,48257,105358,78630,5902,61537
2011,48291,76206,59013,5489,45371
2011,48303,283910,221619,11078,43716
2011,48309,238564,185378,8426,40484
2011,48329,140308,106376,3252,54330
2011,48339,471734,355834,18328,60952
2011,48347,65466,51204,2373,39110
2011,48355,343281,264621,13633,44083
2011,48361,82487,64193,3327,42398
2011,48367,118376,92930,3457,69706
2011,48375,122285,91195,3713,35956
2011,48381,123351,96447,3446,57183
2011,48397,81290,60142,2425,82061
2011,48409,64726,48952,2074,50168
2011,48423,213381,164770,9384,43814
2011,48439,1849815,1388457,88339,52789
2011,48441,132755,104016,4076,40123
2011,48451,111823,88075,3810,43107
2011,48453,1063130,834736,49338,53036
2011,48469,87545,66990,3854,45465
2011,48471,68087,59691,1629,38869
2011,48479,256496,176619,4873,36132
2011,48485,130698,103811,4289,43292
2011,48491,442782,327154,18322,67246
2011,49005,114699,82397,4450,46174
2011,49011,311811,215410,8689,69021
2011,49035,1048985,774332,43184,56171
2011,49049,530499,362721,17714,58607
2011,49053,141666,102541,7760,45854
2011,49057,234420,172209,9512,51798
2011,50007,157491,130798,5322,61879
2011,51003,100553,81398,2315,63001
2011,51013,216004,184404,4855,100735
2011,51015,74897,61139,1573,47326
2011,51019,69246,54510,2618,59980
2011,51041,320277,248633,12187,71110
2011,51059,1100692,862831,33415,105797
2011,51061,66320,53225,2616,93762
2011,51069,79666,62529,2799,69155
2011,51085,100342,79604,3404,67505
2011,51087,310445,244228,12475,57860
2011,51095,68200,55561,1537,71667
2011,51107,325405,236091,8379,119134
2011,51121,94342,81518,3298,43982
2011,51153,419006,311571,13497,95146
2011,51161,92740,75942,2874,61615
2011,51165,76589,60804,2053,51889
2011,51177,124327,96230,4888,76475
2011,51179,132133,99966,3900,91348
2011,51199,66134,50525,1455,84167
2011,51510,144301,120986,5938,82748
2011,51550,225050,174427,10554,66563
2011,51650,136401,108820,6547,49848
2011,51680,76503,65277,4264,36627
2011,51700,179611,140476,10690,48976
2011,51710,242628,196268,15392,43108
2011,51740,95684,76023,4695,42647
2011,51760,205533,170033,13910,38926
2011,51770,96714,77754,4928,39040
2011,51800,84930,65927,3698,64334
2011,51810,442707,350679,14469,64614
2011,53005,180678,138711,6482,61690
2011,53007,73477,58184,2944,50986
2011,53009,71838,60922,2951,50161
2011,53011,433418,333040,25144,56656
2011,53015,102478,81172,5771,42031
