Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI
2011,30071,85,183,2620,84,162,2350
2011,30073,152,328,5278,159,326,5327
2011,30075,45,80,1834,35,57,1360
2011,30077,220,426,14448,227,414,7490
2011,30079,23,53,1070,41,84,950
2011,30081,1322,2430,61440,1184,2182,41562
2011,30083,540,1097,23633,370,701,19910
2011,30085,294,650,11003,252,505,11119
2011,30087,234,501,8237,253,544,11134
2011,30089,285,523,11091,274,543,8380
2011,30091,149,259,5905,95,177,4569
2011,30093,761,1402,29045,846,1464,28047
2011,30095,349,719,17850,285,540,12686
2011,30097,121,265,8323,107,209,5262
2011,30099,143,288,5457,184,330,11504
2011,30101,149,301,5299,156,295,9887
2011,30103,16,39,845,20,40,840
2011,30105,200,406,8823,164,304,6115
2011,30107,54,96,1660,46,85,1088
2011,30109,45,90,1807,13,20,495
2011,30111,3881,7239,169989,3396,6063,155576
2011,31001,754,1478,25985,826,1557,30346
2011,31003,153,293,6902,184,374,8494
2011,31005,11,27,342,10,27,734
2011,31007,27,62,930,44,100,2472
2011,31009,20,37,525,13,34,291
2011,31011,114,239,6245,117,209,4309
2011,31013,280,533,9795,294,632,11904
2011,31015,14,23,417,28,57,1027
2011,31017,59,107,2062,76,140,2505
2011,31019,1188,2177,44792,1308,2406,49508
2011,31021,141,276,4106,180,325,5268
2011,31023,193,378,7080,235,435,9349
2011,31025,843,1773,41529,773,1519,34708
2011,31027,191,393,7520,182,354,6885
2011,31029,96,206,3652,84,164,3092
2011,31031,210,449,4932,142,261,4261
2011,31033,279,546,11006,274,534,14420
2011,31035,156,307,5553,193,409,6415
2011,31037,355,740,10025,419,890,17463
2011,31039,199,423,6438,216,407,7609
2011,31041,295,601,11851,268,484,8492
2011,31043,587,1252,18391,717,1517,23872
2011,31045,223,404,6732,287,508,9338
2011,31047,549,1158,16171,688,1417,23039
2011,31049,59,123,1302,58,124,2237
2011,31051,165,364,6717,158,306,5927
2011,31053,922,1843,32395,1007,1939,39370
2011,31055,12835,23572,598144,12838,24065,633662
2011,31057,37,64,1014,41,73,2212
2011,31059,134,240,6137,147,292,5070
2011,31061,64,120,2565,66,134,2344
2011,31063,78,159,3177,72,133,1912
2011,31065,148,287,4535,162,349,4864
2011,31067,489,1000,17285,532,1047,18913
2011,31069,58,115,2248,73,132,2408
2011,31071,71,152,2971,50,94,1454
2011,31073,64,157,3300,74,135,3515
2011,31075,12,38,436,21,39,716
2011,31077,45,87,1416,65,118,1699
2011,31079,1570,3122,49599,1652,3182,57358
2011,31081,265,567,12072,284,505,13033
2011,31083,74,161,2816,53,104,1826
2011,31085,21,51,427,28,52,978
2011,31087,80,155,2651,87,140,2269
2011,31089,212,417,6685,291,569,9994
2011,31091,14,29,542,26,50,-164
2011,31093,181,342,7037,171,320,4989
2011,31095,161,334,4150,190,328,5556
2011,31097,116,259,3409,104,193,3366
2011,31099,197,389,7812,192,393,7062
