Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2014,26121,172344,136392,9028,42600
2014,26123,47900,38297,1739,39959
2014,26125,1237868,997830,41289,69293
2014,26127,26221,20361,1057,40973
2014,26129,21039,17467,936,36312
2014,26133,23169,18350,733,40540
2014,26137,24158,19622,566,43247
2014,26139,276292,216126,8067,60343
2014,26143,23955,20874,1163,35216
2014,26145,195012,157629,8233,44931
2014,26147,160078,128891,6743,50319
2014,26149,60946,47522,2092,43423
2014,26151,41587,33767,1978,42020
2014,26155,68933,56081,2809,48523
2014,26157,54000,44219,2254,42531
2014,26159,75199,59364,2813,47435
2014,26161,356874,295260,10976,62845
2014,26163,1764804,1388666,104560,41435
2014,26165,32886,26224,701,39312
2014,27003,341864,268682,10131,70915
2014,27005,33259,26149,400,52168
2014,27007,45664,35159,2129,44296
2014,27009,39506,30501,1124,51946
2014,27013,65385,53517,1454,48850
2014,27015,25292,20488,313,51677
2014,27017,35571,27668,668,54532
2014,27019,97338,73573,1486,83594
2014,27021,28559,23204,630,45519
2014,27025,54025,42782,1593,77068
2014,27027,61286,48421,1009,57025
2014,27035,63265,50987,1177,50716
2014,27037,412529,321964,8237,76213
2014,27039,20353,15563,173,70768
2014,27041,36790,30004,782,52306
2014,27045,20776,16306,396,53914
2014,27047,30840,24738,757,47191
2014,27049,46423,37305,1201,59715
2014,27053,1212064,970637,34683,64433
2014,27057,20573,16653,374,49234
2014,27059,38413,29781,1520,67302
2014,27061,45589,37146,1029,49016
2014,27067,42285,33672,593,59254
2014,27079,27770,21971,642,61897
2014,27083,25665,20028,550,53627
2014,27085,35882,28274,499,60862
2014,27091,20220,16386,457,55609
2014,27093,23107,18133,473,54300
2014,27095,25884,20120,833,50074
2014,27097,32810,26160,757,51253
2014,27099,39323,30663,1135,46340
2014,27103,33093,26829,778,62447
2014,27105,21590,16543,585,51004
2014,27109,150287,116729,4168,69731
2014,27111,57635,46739,1380,52475
2014,27115,29095,23650,799,41511
