Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2020,01023,152,292,6111,187,367,8091,,,,,12755.0,10632.0,306.0,36634.0,,,,,100.0,4.0,0.0,0.0,6.0
2011,01025,372,814,13394,517,1159,18552,,,,,26046.0,20297.0,1436.0,29668.0,,,,,87.5,8.0,1.0,0.0,6.0
2012,01025,462,1011,14900,460,960,16672,,,,,25768.0,20186.0,1735.0,30954.0,,,,,87.5,8.0,1.0,0.0,6.0
2013,01025,416,928,14656,465,1047,17592,,,,,25573.0,20090.0,1979.0,29357.0,,,,,87.5,8.0,1.0,0.0,6.0
2014,01025,308,671,12137,367,788,14146,,,,,25331.0,20188.0,2063.0,30951.0,26118.0,21374.0,1907.0,36337.0,87.5,8.0,1.0,0.0,6.0
2015,01025,319,703,13622,430,897,19197,,,,,25070.0,20128.0,1961.0,32011.0,24603.0,20252.0,1479.0,32623.0,87.5,8.0,1.0,0.0,6.0
2016,01025,363,810,13770,472,1012,19889,,,,,24847.0,20008.0,1681.0,32735.0,28545.0,22412.0,1123.0,31841.0,87.5,8.0,1.0,0.0,6.0
2017,01025,339,758,13919,372,782,15156,,,,,24625.0,19863.0,1424.0,33827.0,24351.0,20090.0,879.0,29757.0,87.5,8.0,1.0,0.0,6.0
2018,01025,317,626,13122,397,836,16240,,,,,24387.0,19763.0,1283.0,36127.0,23461.0,18570.0,983.0,41545.0,87.5,8.0,1.0,0.0,6.0
2019,01025,312,665,13559,418,868,18774,,,,,24128.0,19548.0,1080.0,37404.0,25119.0,20609.0,992.0,58510.0,87.5,8.0,1.0,0.0,6.0
2020,01025,388,800,16149,392,747,17749,,,,,23866.0,19409.0,1075.0,37345.0,,,,,87.5,8.0,1.0,0.0,6.0
2011,01027,257,571,7667,320,761,12132,,,,,14010.0,11196.0,687.0,35410.0,,,,,0.0,2.0,2.0,0.0,6.0
2012,01027,280,640,10322,242,535,7891,,,,,13828.0,11027.0,699.0,34556.0,,,,,0.0,2.0,2.0,0.0,6.0
2013,01027,241,545,8300,244,512,7624,,,,,13703.0,11005.0,761.0,34002.0,,,,,0.0,2.0,2.0,0.0,6.0
2014,01027,192,400,6550,219,458,6939,,,,,13617.0,10997.0,624.0,35286.0,,,,,0.0,2.0,2.0,0.0,6.0
2015,01027,237,499,8158,240,461,7696,,,,,13537.0,10933.0,535.0,35327.0,,,,,0.0,2.0,2.0,0.0,6.0
2016,01027,301,676,13743,300,638,10842,,,,,13483.0,10948.0,386.0,38815.0,,,,,0.0,2.0,2.0,0.0,6.0
2017,01027,250,554,10108,273,566,10205,,,,,13407.0,10878.0,379.0,37287.0,,,,,0.0,2.0,2.0,0.0,6.0
2018,01027,216,456,8062,269,561,10682,,,,,13378.0,10843.0,378.0,41225.0,,,,,0.0,2.0,2.0,0.0,6.0
2019,01027,246,541,11625,251,570,9071,,,,,13337.0,10841.0,316.0,40845.0,,,,,0.0,2.0,2.0,0.0,6.0
2020,01027,279,582,10927,254,496,10055,,,,,13285.0,10901.0,305.0,42678.0,,,,,0.0,2.0,2.0,0.0,6.0
2011,01029,318,800,11403,322,731,10220,,,,,14881.0,11783.0,855.0,38785.0,,,,,0.0,1.0,3.0,0.0,6.0
2012,01029,386,1012,11628,303,702,8998,,,,,14905.0,11750.0,821.0,37244.0,,,,,0.0,1.0,3.0,0.0,6.0
2013,01029,301,750,10677,328,764,10782,,,,,14945.0,11820.0,730.0,38019.0,,,,,0.0,1.0,3.0,0.0,6.0
2014,01029,231,501,6830,240,514,8652,,,,,14990.0,11779.0,550.0,37008.0,,,,,0.0,1.0,3.0,0.0,6.0
2015,01029,286,648,11757,306,644,10449,,,,,15002.0,11860.0,549.0,38056.0,,,,,0.0,1.0,3.0,0.0,6.0
2016,01029,404,947,18235,331,728,12993,,,,,14991.0,11826.0,450.0,36316.0,,,,,0.0,1.0,3.0,0.0,6.0
2017,01029,296,616,12231,304,679,11583,,,,,14939.0,11843.0,489.0,37396.0,,,,,0.0,1.0,3.0,0.0,6.0
2018,01029,302,653,11652,259,545,9970,,,,,14938.0,11847.0,458.0,40188.0,,,,,0.0,1.0,3.0,0.0,6.0
2019,01029,312,733,14678,290,631,11940,,,,,14916.0,11942.0,361.0,44741.0,,,,,0.0,1.0,3.0,0.0,6.0
2020,01029,360,778,16177,302,635,11832,,,,,14952.0,11967.0,198.0,46320.0,,,,,0.0,1.0,3.0,0.0,6.0
2011,01031,2112,4609,84698,2103,4582,88303,,,,,49221.0,38640.0,1527.0,42065.0,,,,,14.285714285714286,8.0,6.0,0.0,5.0
2012,01031,1950,4338,77163,2157,4676,90878,,,,,49966.0,39218.0,1585.0,44626.0,,,,,14.285714285714286,8.0,6.0,0.0,5.0
2013,01031,1784,4076,73173,1879,3994,78630,,,,,50468.0,39716.0,1641.0,43768.0,,,,,14.285714285714286,8.0,6.0,0.0,5.0
2014,01031,1402,3005,56940,1363,2817,56123,,,,,50726.0,40049.0,1576.0,45558.0,50909.0,40608.0,1400.0,47144.0,14.285714285714286,8.0,6.0,0.0,5.0
2015,01031,1829,4187,80793,1842,3929,93292,,,,,50884.0,40161.0,1596.0,46729.0,51211.0,39906.0,1703.0,45608.0,14.285714285714286,8.0,6.0,0.0,5.0
2016,01031,2348,5597,110838,2369,5235,120427,,,,,50991.0,40283.0,1410.0,47872.0,51226.0,40256.0,1010.0,49490.0,14.285714285714286,8.0,6.0,0.0,5.0
2017,01031,1841,4045,90762,1815,4002,93905,,,,,51073.0,40416.0,1391.0,49821.0,51874.0,41157.0,1232.0,53061.0,14.285714285714286,8.0,6.0,0.0,5.0
2018,01031,1834,4058,92770,1768,3716,91869,,,,,51288.0,40510.0,1371.0,53155.0,51909.0,41215.0,1483.0,58002.0,14.285714285714286,8.0,6.0,0.0,5.0
2019,01031,2105,4691,103413,1924,4149,99371,,,,,51662.0,40755.0,1334.0,55637.0,52342.0,41264.0,978.0,60736.0,14.285714285714286,8.0,6.0,0.0,5.0
2020,01031,2002,4226,106818,1933,3896,103653,,,,,52238.0,41328.0,1266.0,56799.0,,,,,14.285714285714286,8.0,6.0,0.0,5.0
2011,01033,1307,2696,41429,1281,2572,43278,,,,,54478.0,43861.0,2068.0,40247.0,,,,,0.0,0.0,5.0,9.0,4.0
2012,01033,1291,2798,50532,1292,2653,46121,,,,,54451.0,43959.0,2128.0,40158.0,,,,,0.0,0.0,5.0,9.0,4.0
2013,01033,1198,2471,43803,1199,2486,43821,,,,,54456.0,44170.0,2360.0,39077.0,,,,,0.0,0.0,5.0,9.0,4.0
2014,01033,971,1949,33648,991,1972,44812,,,,,54491.0,44184.0,2356.0,39914.0,54543.0,43797.0,2608.0,43959.0,0.0,0.0,5.0,9.0,4.0
